No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
200,tbba001g.税込入力区分,税込入力区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.税込入力区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.税込入力区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,税込入力区分に関する金額・税・率などの数値情報
201,tbba001g.預託区分,預託区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.預託区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.預託区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,預託区分を表す区分/フラグ情報
202,tbba001g.預託予定日,預託予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.預託予定日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.預託予定日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,預託予定日に関する日付/年月情報
203,tbba001g.シュレッダーダスト重量増減,シュレッダーダスト重量増減,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.シュレッダーダスト重量増減）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.シュレッダーダスト重量増減」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,シュレッダーダスト重量増減に関する項目
204,tbba001g.エアコン装着有無,エアコン装着有無,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.エアコン装着有無）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.エアコン装着有無」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,エアコン装着有無を表す区分/フラグ情報
205,tbba001g.特殊区分,特殊区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.特殊区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.特殊区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,特殊区分を表す区分/フラグ情報
206,tbba001g.法対象架装物区分変更値,法対象架装物区分変更値,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.法対象架装物区分変更値）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.法対象架装物区分変更値」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,法対象架装物区分変更値を表す区分/フラグ情報
207,tbba001g.請求データ送信区分,請求データ送信区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.請求データ送信区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.請求データ送信区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,請求データ送信区分を表す区分/フラグ情報
208,tbba001g.用品品番データ送信区分,用品品番データ送信区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.用品品番データ送信区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.用品品番データ送信区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,用品品番データ送信区分を表す区分/フラグ情報
209,tbba001g.ＯＳＳ申請区分,ＯＳＳ申請区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＯＳＳ申請区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＯＳＳ申請区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＯＳＳ申請区分を表す区分/フラグ情報
210,tbba001g.使用済記載区分,使用済記載区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.使用済記載区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.使用済記載区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,使用済記載区分を表す区分/フラグ情報
211,tbba001g.下取自動車税相当額表示区分,下取自動車税相当額表示区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.下取自動車税相当額表示区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.下取自動車税相当額表示区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,下取自動車税相当額表示区分に関する金額・税・率などの数値情報
212,tbba001g.保証書発行日,保証書発行日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.保証書発行日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.保証書発行日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,保証書発行日に関する日付/年月情報
213,tbba001g.保険かんたん見積実施区分,保険かんたん見積実施区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.保険かんたん見積実施区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.保険かんたん見積実施区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,保険かんたん見積実施区分を表す区分/フラグ情報
214,tbba001g.保険詳細見積実施区分,保険詳細見積実施区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.保険詳細見積実施区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.保険詳細見積実施区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,保険詳細見積実施区分を表す区分/フラグ情報
215,tbba001g.旬間オーダー連番,旬間オーダー連番,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.旬間オーダー連番）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.旬間オーダー連番」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,旬間オーダー連番に関する項目
216,tbba001g.移行区分,移行区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.移行区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.移行区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,移行区分を表す区分/フラグ情報
217,tbba001g.ＧＢＯＯＫ申込書印刷済フラグ,ＧＢＯＯＫ申込書印刷済フラグ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＧＢＯＯＫ申込書印刷済フラグ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＧＢＯＯＫ申込書印刷済フラグ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＧＢＯＯＫ申込書印刷済フラグを表す区分/フラグ情報
218,tbba001g.テレマナビ区分,テレマナビ区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.テレマナビ区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.テレマナビ区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,テレマナビ区分を表す区分/フラグ情報
219,tbba001g.テレマナビ種別,テレマナビ種別,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.テレマナビ種別）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.テレマナビ種別」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,テレマナビ種別に関する項目
220,tbba001g.テレマナビコード,テレマナビコード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.テレマナビコード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.テレマナビコード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,テレマナビコードを識別するコード/番号情報
221,tbba001g.テレマ車名コード,テレマ車名コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.テレマ車名コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.テレマ車名コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,テレマ車名コードを識別するコード/番号情報
222,tbba001g.ＥＳＰＯ対象区分,ＥＳＰＯ対象区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＥＳＰＯ対象区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＥＳＰＯ対象区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＥＳＰＯ対象区分を表す区分/フラグ情報
223,tbba001g.ＰＡＬテレマナビ区分,ＰＡＬテレマナビ区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＰＡＬテレマナビ区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＰＡＬテレマナビ区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＰＡＬテレマナビ区分を表す区分/フラグ情報
224,tbba001g.ＰＡＬテレマナビ種別,ＰＡＬテレマナビ種別,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＰＡＬテレマナビ種別）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＰＡＬテレマナビ種別」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＰＡＬテレマナビ種別に関する項目
225,tbba001g.ＰＡＬテレマナビコード,ＰＡＬテレマナビコード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＰＡＬテレマナビコード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＰＡＬテレマナビコード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＰＡＬテレマナビコードを識別するコード/番号情報
226,tbba001g.ＰＡＬテレマ車名コード,ＰＡＬテレマ車名コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＰＡＬテレマ車名コード）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＰＡＬテレマ車名コード」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＰＡＬテレマ車名コードを識別するコード/番号情報
227,tbba001g.ＰＡＬＥＳＰＯ対象区分,ＰＡＬＥＳＰＯ対象区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＰＡＬＥＳＰＯ対象区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＰＡＬＥＳＰＯ対象区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＰＡＬＥＳＰＯ対象区分を表す区分/フラグ情報
228,tbba001g.前回振当状態,前回振当状態,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前回振当状態）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前回振当状態」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前回振当状態に関する項目
229,tbba001g.前回振当月日,前回振当月日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前回振当月日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前回振当月日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前回振当月日に関する日付/年月情報
230,tbba001g.前回振当区分,前回振当区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前回振当区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前回振当区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前回振当区分を表す区分/フラグ情報
231,tbba001g.前回配送日,前回配送日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前回配送日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前回配送日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前回配送日に関する日付/年月情報
232,tbba001g.前回配送状況,前回配送状況,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前回配送状況）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前回配送状況」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前回配送状況に関する項目
233,tbba001g.前回照会日時,前回照会日時,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前回照会日時）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前回照会日時」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前回照会日時に関する日付/年月情報
234,tbba001g.前日処理ＦＬＧ,前日処理ＦＬＧ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日処理ＦＬＧ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日処理ＦＬＧ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日処理ＦＬＧに関する日付/年月情報
235,tbba001g.前日在庫状態区分,前日在庫状態区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日在庫状態区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日在庫状態区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日在庫状態区分に関する日付/年月情報
236,tbba001g.前日振当予定日,前日振当予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日振当予定日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日振当予定日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日振当予定日に関する日付/年月情報
237,tbba001g.前日仮振当日,前日仮振当日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日仮振当日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日仮振当日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日仮振当日に関する日付/年月情報
238,tbba001g.前日振当日,前日振当日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日振当日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日振当日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日振当日に関する日付/年月情報
239,tbba001g.前日配送表示日,前日配送表示日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日配送表示日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日配送表示日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日配送表示日に関する日付/年月情報
240,tbba001g.前日配送ステータス,前日配送ステータス,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前日配送ステータス）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前日配送ステータス」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前日配送ステータスに関する日付/年月情報
241,tbba001g.前々日処理ＦＬＧ,前々日処理ＦＬＧ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日処理ＦＬＧ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日処理ＦＬＧ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日処理ＦＬＧに関する日付/年月情報
242,tbba001g.前々日在庫状態区分,前々日在庫状態区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日在庫状態区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日在庫状態区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日在庫状態区分に関する日付/年月情報
243,tbba001g.前々日振当予定日,前々日振当予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日振当予定日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日振当予定日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日振当予定日に関する日付/年月情報
244,tbba001g.前々日仮振当日,前々日仮振当日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日仮振当日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日仮振当日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日仮振当日に関する日付/年月情報
245,tbba001g.前々日振当日,前々日振当日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日振当日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日振当日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日振当日に関する日付/年月情報
246,tbba001g.前々日配送表示日,前々日配送表示日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日配送表示日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日配送表示日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日配送表示日に関する日付/年月情報
247,tbba001g.前々日配送ステータス,前々日配送ステータス,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.前々日配送ステータス）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.前々日配送ステータス」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,前々日配送ステータスに関する日付/年月情報
248,tbba001g.小損害保証区分,小損害保証区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.小損害保証区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.小損害保証区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,小損害保証区分を表す区分/フラグ情報
249,tbba001g.小損害保証書発行日,小損害保証書発行日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.小損害保証書発行日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.小損害保証書発行日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,小損害保証書発行日に関する日付/年月情報
250,tbba001g.Ｒ店車両区分,Ｒ店車両区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.Ｒ店車両区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.Ｒ店車両区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,Ｒ店車両区分を表す区分/フラグ情報
251,tbba001g.Ｒ店車両発注ＮＯ,Ｒ店車両発注ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.Ｒ店車両発注ＮＯ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.Ｒ店車両発注ＮＯ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,Ｒ店車両発注ＮＯを識別するコード/番号情報
252,tbba001g.Ｒ店車両発注ＮＯ枝番,Ｒ店車両発注ＮＯ枝番,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.Ｒ店車両発注ＮＯ枝番）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.Ｒ店車両発注ＮＯ枝番」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,Ｒ店車両発注ＮＯ枝番に関する項目
253,tbba001g.車両特定ＩＤ,車両特定ＩＤ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.車両特定ＩＤ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.車両特定ＩＤ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,車両特定ＩＤを識別するコード/番号情報
254,Ｒ店登録予定日,Ｒ店登録予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba031g,dd_toroyote,tbba031g.dd_toroyote を取得。コメントアウトされた別変換案ではなく実処理はこちら,R店登録予定日
255,tbba001g.Ｒ店納車予定日,Ｒ店納車予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.Ｒ店納車予定日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.Ｒ店納車予定日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,Ｒ店納車予定日に関する日付/年月情報
256,tbba001g.Ｒ店登録書類必着日,Ｒ店登録書類必着日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.Ｒ店登録書類必着日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.Ｒ店登録書類必着日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,Ｒ店登録書類必着日に関する日付/年月情報
257,tbba001g.Ｒ店振当結果送付日,Ｒ店振当結果送付日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.Ｒ店振当結果送付日）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.Ｒ店振当結果送付日」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,Ｒ店振当結果送付日に関する日付/年月情報
258,tbba001g.ＩＣＲＯＰＪ連携有無,ＩＣＲＯＰＪ連携有無,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＩＣＲＯＰＪ連携有無）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＩＣＲＯＰＪ連携有無」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＩＣＲＯＰＪ連携有無を表す区分/フラグ情報
259,tbba001g.ＫＩＮＴＯ区分,ＫＩＮＴＯ区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.ＫＩＮＴＯ区分）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.ＫＩＮＴＯ区分」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,ＫＩＮＴＯ区分を表す区分/フラグ情報
260,tbba001g.最新更新日時,最新更新日時,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.最新更新日時）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.最新更新日時」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,最新更新日時に関する日付/年月情報
261,tbba001g.最新更新端末ＩＤ,最新更新端末ＩＤ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,SQL SELECT句参照（別名: tbba001g.最新更新端末ＩＤ）,tbba001g 由来項目をレポート用の日本語別名「tbba001g.最新更新端末ＩＤ」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,最新更新端末ＩＤを識別するコード/番号情報
262,tbv0014m.社員コード,社員コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,cd_syain,SQL上は tbbv0014m.cd_syain と記載されているが、JOIN別名は tbv0014m。実行時は別名 typo の可能性があるため要確認。,社員コード。SQLの別名表記に注意。
263,tbv0014m.社員名,社員名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.社員名）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.社員名」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,社員名の名称・文字列情報
264,tbv0014m.社員属性,社員属性,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.社員属性）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.社員属性」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,社員属性に関する項目
265,tbv0014m.所属店舗,所属店舗,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.所属店舗）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.所属店舗」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,所属店舗に関する項目
266,tbv0014m.所属課,所属課,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.所属課）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.所属課」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,所属課に関する項目
267,tbv0014m.所属係,所属係,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.所属係）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.所属係」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,所属係に関する項目
268,tbv0014m.所属部門,所属部門,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.所属部門）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.所属部門」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,所属部門に関する項目
269,tbv0014m.車両年次,車両年次,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.車両年次）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.車両年次」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,車両年次に関する項目
270,tbv0014m.車両ランク,車両ランク,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.車両ランク）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.車両ランク」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,車両ランクに関する項目
271,tbv0014m.スタッフ新車,スタッフ新車,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.スタッフ新車）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.スタッフ新車」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,スタッフ新車に関する項目
272,tbv0014m.スタッフ中古車,スタッフ中古車,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.スタッフ中古車）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.スタッフ中古車」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,スタッフ中古車に関する項目
273,tbv0014m.お客様担当,お客様担当,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,SQL SELECT句参照（別名: tbv0014m.お客様担当）,tbv0014m 由来項目をレポート用の日本語別名「tbv0014m.お客様担当」として取得。SQL上は主に直接取得。物理カラム名はSELECT句の対応行で確認。,お客様担当に関する項目
