テーブル名,論理名,業務用途,工程,候補根拠,主要キー,車両接続キー,受注接続キー,金額項目,帳票利用,必要性,正式値か,更新方式,削除方式,訂正方式,保持期間,推奨履歴方式,Power BI提供方法,確定度,確認担当者,次の作業
TBBC001G,中古車在庫基本情報DB,U-Car仕入・在庫・販売・処分管理,U-Car仕入→在庫→販売/卸/処分,主要関連カラム: NO_SYARYOU（車両ＮＯ） / MJ_KAKUSISY（確定仕入時車両ＮＯ付番フラグ） / KB_SIIRE（仕入区分） / MJ_SIRENYTA（仕入入力担当者） / DD_SIIRE（仕入日） / DD_UCZAIKOH（中古車在庫条件変更日） / DD_TORIKESI（取消日） / NO_SIRETYUM（仕入注文ＮＯ） / MJ_SIRENORI（仕入時登録ＮＯ陸支コード） / KB_SIRETOSY（仕入時登録ＮＯ車種区分） / CD_SIRETOGY（仕入時登録ＮＯ業態コード） / NO_SIRETOSE（仕入時登録ＮＯ整理番号） ほか123項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_SYARYOU（車両ＮＯ）,NO_SYARYOU（車両ＮＯ） / MJ_KAKUSISY（確定仕入時車両ＮＯ付番フラグ） / NO_FRAME（フレームＮＯ） / NO_SYADAIBA（車台番号） / NO_SIRESSYR（仕入先車両ＮＯ）,NO_SIRETYUM（仕入注文ＮＯ） / NO_SATEI（査定ＮＯ） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SIRESCHM（仕入先注文ＮＯ） / NO_SIRESCME（仕入先注文ＮＯ枝番） / NO_KYUSATEI（旧査定ＮＯ）,KB_URIAGYOT（売上予定区分） / KI_HNBSIJIK（販売指示価格） / KI_TENTOHYJ（店頭表示価格） / KI_HONSATEK（本査定価格） / KI_HONSATKZ（本査定価格＿前月） / KI_HONTGENK（本体原価） / NU_FURSATEI（振替査定損） / KI_SIIREKA（仕入価格） / KI_SITASASO（下取査定損） / KI_SIREYOTK（仕入予定価格） / KI_HONTSTK（本体ストック金額） / KI_HONTSTZM（本体ストック金額＿前月） ほか36項目,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分更新/上書き型の可能性（更新日時・日次比較で確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,Current＋状態遷移履歴,Currentビュー＋状態遷移分析ビュー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,在庫状態・価格定義・車両NOの継続性を確認。Hueで車両NO一意性、状態別件数、仕入/販売/処分日、下取接続率を確認
TBBC003G,仕入予定基本情報ＤＢ,U-Car仕入予定・予定価格,U-Car仕入予定→仕入,主要関連カラム: NO_SIRETYUM（仕入注文ＮＯ） / MJ_SIRENORI（仕入時登録ＮＯ陸支コード） / KB_SIRETOSY（仕入時登録ＮＯ車種区分） / CD_SIRETOGY（仕入時登録ＮＯ業態コード） / NO_SIRETOSE（仕入時登録ＮＯ整理番号） / NO_SYARYOU（車両ＮＯ） / CD_SIIRESAK（仕入先コード） / MJ_SIRESAKI（仕入先名） / CD_SIREYOTE（仕入予定店舗コード） / KB_SIREYOTE（仕入予定区分） / NO_FRAME（フレームＮＯ） / KB_URIAGYOT（売上予定区分） ほか78項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_SIRETYUM（仕入注文ＮＯ） / MJ_SIRENORI（仕入時登録ＮＯ陸支コード） / KB_SIRETOSY（仕入時登録ＮＯ車種区分） / CD_SIRETOGY（仕入時登録ＮＯ業態コード） / NO_SIRETOSE（仕入時登録ＮＯ整理番号） / NO_SYARYOU（車両ＮＯ） / NO_LEASE（リース契約ＮＯ） / NO_KOTESISN（固定資産ＮＯ）,NO_SYARYOU（車両ＮＯ） / NO_FRAME（フレームＮＯ） / NO_SYADAIBA（車台番号） / NO_SIRESSYR（仕入先車両ＮＯ）,NO_SIRETYUM（仕入注文ＮＯ） / NO_SATEI（査定ＮＯ） / NO_SIRESCHM（仕入先注文ＮＯ） / NO_SIRESCME（仕入先注文ＮＯ枝番） / NO_KYUSATEI（旧査定ＮＯ）,KB_URIAGYOT（売上予定区分） / KI_HNBSIJIK（販売指示価格） / KI_TENTOHYJ（店頭表示価格） / KI_HONSATEK（本査定価格） / KI_HONTGENK（本体原価） / NU_FURSATEI（振替査定損） / KI_SIIREKA（仕入価格） / KI_SITASASO（下取査定損） / KI_SIREYOTK（仕入予定価格） / NO_SATEI（査定ＮＯ） / KI_KIHONKA（基本価格） / KB_TOROMURI（登録前売上区分） ほか21項目,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car仕入/加修/価格変更の正式用途を確認。Hueで車両接続率、予定/実績差、変更回数、取消/重複を確認
TBBC005G,加修実績明細ＤＢ,U-Car加修実績原価,U-Car加修実績,主要関連カラム: NO_SYARYOU（車両ＮＯ） / KI_KOUTINGN（工賃原価） / KI_BUHINGEN（部品原価） / KI_GAIGENKA（外注原価） / KI_TAGENKA（その他原価） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_SYARYOU（車両ＮＯ） / NO_DENPYO（伝票ＮＯ）,NO_SYARYOU（車両ＮＯ）,該当カラム未確認,KI_KOUTINGN（工賃原価） / KI_BUHINGEN（部品原価） / KI_GAIGENKA（外注原価） / KI_TAGENKA（その他原価）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car仕入/加修/価格変更の正式用途を確認。Hueで車両接続率、予定/実績差、変更回数、取消/重複を確認
TBBC011G,加修依頼管理ＤＢ,U-Car加修依頼管理,U-Car加修依頼,主要関連カラム: NO_SYARYOU（車両ＮＯ） / DD_KASYKIBO（加修希望納期） / DD_KASYUIRA（加修依頼日） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_SYARYOU（車両ＮＯ） / NO_IRAISYO（依頼書ＮＯ）,NO_SYARYOU（車両ＮＯ）,該当カラム未確認,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,査定・価格変更・詳細分析を行う場合の候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car仕入/加修/価格変更の正式用途を確認。Hueで車両接続率、予定/実績差、変更回数、取消/重複を確認
TBBC012G,加修依頼明細ＤＢ,U-Car加修依頼明細,U-Car加修依頼明細,主要関連カラム: NO_SYARYOU（車両ＮＯ） / CD_KASYU（加修コード） / KJ_KASYNAIY（加修内容） / KJ_KASYU（加修メモ） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_SYARYOU（車両ＮＯ） / NO_IRAISYO（依頼書ＮＯ） / NO_MEISAI（明細ＮＯ）,NO_SYARYOU（車両ＮＯ）,該当カラム未確認,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,査定・価格変更・詳細分析を行う場合の候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car仕入/加修/価格変更の正式用途を確認。Hueで車両接続率、予定/実績差、変更回数、取消/重複を確認
TBBC019G,中古車受注加修ＤＢ,U-Car受注時加修,U-Car販売時加修,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_KASYU（加修コード） / NO_KASYREN（加修連番） / KI_KASYBUYK（加修売価） / KI_KASYSYTK（加修取得税） / KI_KASYMITM（加修見積額） / KI_KASYBYZK（加修売価＿税込） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / CD_KASYU（加修コード） / NO_KASYREN（加修連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,該当カラム未確認,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car仕入/加修/価格変更の正式用途を確認。Hueで車両接続率、予定/実績差、変更回数、取消/重複を確認
TBBC096G,在庫価格変更履歴DB,U-Car在庫価格変更履歴,U-Car在庫・価格変更,主要関連カラム: NO_SYARYOU（車両ＮＯ） / DD_SIIRE（仕入日） / KI_HEMKAKU（変更前価格） / KI_HEGKAKU（変更後価格） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_SYARYOU（車両ＮＯ） / KB_RIREKI（履歴区分） / DD_SIIRE（仕入日） / DD_HENKOU（変更日）,NO_SYARYOU（車両ＮＯ）,該当カラム未確認,KI_HEMKAKU（変更前価格） / KI_HEGKAKU（変更後価格）,未確認（Power BI・既存帳票の参照有無を確認）,査定・価格変更・詳細分析を行う場合の候補,業務事実/属性データ候補（正式値の参照先は未確認）,追記型候補（実データで再送・上書き有無を確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,原則追記型。取消・訂正は削除せず状態/版で保持,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car仕入/加修/価格変更の正式用途を確認。Hueで車両接続率、予定/実績差、変更回数、取消/重複を確認
TBBC017G,中古車受注基本情報DB,U-Car受注・登録・売上・納車管理,U-Car受注→登録→売上→納車,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_SYARYOU（車両ＮＯ） / CD_JYTYUTEN（受注店舗コード） / KB_URIAGE（売上区分） / KB_TOROKU（登録区分） / MJ_TORORIKU（登録陸支） / MJ_NOSYBAS（納車場所） / MJ_CYMONM1（注文メモ１） / MJ_CYMONM2（注文メモ２） / DD_PALTYMSK（ＰＡＬ注文書作成日） / DD_JUCYUHAS（受注発生日） ほか29項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_SYARYOU（車両ＮＯ）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_ECCYUM（ＥＣ注文ＮＯ）,KB_URIAGE（売上区分） / DD_URITRKKJ（売上取消計上日） / DD_URIAGEKJ（売上計上日） / DD_URITORIK（売上取消日） / DD_MODURIAG（戻し売上日） / DD_URIAGYOT（売上予定日） / DD_URIAGE（売上日）,未確認（Power BI・既存帳票の参照有無を確認）,最優先候補,業務事実/属性データ候補（正式値の参照先は未確認）,差分更新/上書き型の可能性（更新日時・日次比較で確認）,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,Current＋状態遷移履歴,Currentビュー＋状態遷移分析ビュー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car受注・販売条件の正式用途を確認。Hueで注文/車両接続率、変更/取消頻度、金額整合を確認
TBBC020G,中古車受注販売条件情報DB,U-Car販売条件・価格・原価,U-Car販売条件・利益計算,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KAPKAISU（割賦回数） / KI_SITADORI（下取車価格） / KB_SITASYHI（下取消費税区分） / KI_SITASYHI（下取消費税） / KI_KAPHANKA（割賦販売価格） / KI_MAEUNYUK（前受入金額） / KB_TAISYGAJ（対象外受注区分） / KI_GENKNYKG（現金入金額） / KI_SITANYKG（下取車入金額） / KI_FUHARNYK（賦払金入金額） ほか55項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_SITADORI（下取車価格） / KI_SITZAN（下取残債） / KI_KAPHANKA（割賦販売価格） / KI_MAEUNYUK（前受入金額） / KI_GENKNYKG（現金入金額） / KI_SITANYKG（下取車入金額） / KI_FUHARNYK（賦払金入金額） / KB_KENSATOR（検査登録費用区分） / KI_KENSATOR（検査登録費用） / KI_KENSGENK（検査登録費用管理原価） / KB_SYAKOSYO（車庫証明費用区分） / KI_SYAKOSYO（車庫証明費用） ほか58項目,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car受注・販売条件の正式用途を確認。Hueで注文/車両接続率、変更/取消頻度、金額整合を確認
TBBC031G,中古車受注任意諸費用情報Ｄ,U-Car任意諸費用,U-Car販売条件・利益計算,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINSYHIY（任意諸費用連番） / KB_NINSYHIY（任意諸費用区分） / KI_NINSYHI（任意諸費用） / KI_NINSYHKG（任意諸費用管理原価） / KI_NINSYHZK（任意諸費用＿税込） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINSYHIY（任意諸費用連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_NINSYHIY（任意諸費用連番） / KB_NINSYHIY（任意諸費用区分） / KI_NINSYHI（任意諸費用） / KI_NINSYHKG（任意諸費用管理原価） / KI_NINSYHZK（任意諸費用＿税込）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car受注・販売条件の正式用途を確認。Hueで注文/車両接続率、変更/取消頻度、金額整合を確認
TBBC032G,中古車受注任意預り金情報ＤＢ,U-Car任意預り金,U-Car販売条件・預り金,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINAZUKN（任意預かり金連番） / KB_NINAZUKN（任意預かり金区分） / KI_NINAZUK（任意預かり金） / KI_NINAZUKG（任意預かり金管理原価） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_NINAZUKN（任意預かり金連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,NO_NINAZUKN（任意預かり金連番） / KB_NINAZUKN（任意預かり金区分） / KI_NINAZUK（任意預かり金） / KI_NINAZUKG（任意預かり金管理原価）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car受注・販売条件の正式用途を確認。Hueで注文/車両接続率、変更/取消頻度、金額整合を確認
TBBC033G,中古車受注割賦情報ＤＢ,U-Car割賦情報,U-Car販売条件・割賦,主要関連カラム: NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KAPRENB（割賦連番） / KI_KAPGANKI（割賦元金） / KI_KAPTESU（割賦手数料） / KI_KAPTESG（割賦手数料管理原価） / KI_KAPTSRZK（割賦手数料＿税込） / DT_SAISINUP（最新更新日時） / MJ_SASINTAN（最新更新端末ＩＤ）,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / NO_KAPRENB（割賦連番）,該当カラム未確認,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,KI_KAPGANKI（割賦元金） / KI_KAPTESU（割賦手数料） / KI_KAPTESG（割賦手数料管理原価） / KI_KAPTSRZK（割賦手数料＿税込）,未確認（Power BI・既存帳票の参照有無を確認）,利益の計算根拠まで残す場合の有力候補,利益計算の根拠データ候補（正式値は分析/帳票側と照合）,差分連携の可能性あり／実際の更新方式は未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,変更検知型履歴（変更時のみ追加。必要に応じSCD Type2）,車両・受注単位へ集計したマート／必要時のみ明細ドリルスルー,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,U-Car受注・販売条件の正式用途を確認。Hueで注文/車両接続率、変更/取消頻度、金額整合を確認
TBBG100G,中古車受注分析ＤＢ,U-Car受注・利益分析,U-Car受注・売上・利益,主要関連カラム: NO_CYUMON（注文ＮＯ） / MJ_SIRETENP（仕入店舗） / CD_SIRESTFF（仕入スタッフコード） / MJ_SIRESTFF（仕入スタッフ名） / KB_SIIRE（仕入区分） / MJ_SIIREMEI（仕入区分名称） / KB_URIAGE（売上区分） / CD_SIIRESAK（仕入先コード） / CD_KAPKASUH（割賦回数範囲コード） / CD_SIRERTKB（仕入ルート区分コード） / DD_JUCYU（受注日） / DD_URIAGE（売上日） ほか48項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / NO_CYUMON（注文ＮＯ） / NO_HNRIREK（変更履歴ＮＯ）,NO_SYARYOU（車両ＮＯ）,NO_CYUMON（注文ＮＯ）,KB_URIAGE（売上区分） / DD_URIAGE（売上日） / KI_KINGKHNS（金額＿販売指示価格） / KI_KINGKTNH（金額＿店頭表示価格） / KI_KINGKCHK（金額＿注文書価格） / KI_KINGKHNK（金額＿販売価格計） / KI_KINGKHZK（金額＿付属品） / KI_KINGKSPS（金額＿特別仕様） / KI_KINGKKPM（金額＿割賦元金） / KI_KINGKPM2（金額＿割賦元金２） / KI_KINGKPM3（金額＿割賦元金３） / KI_KINGKKPT（金額＿割賦手数料） ほか21項目,未確認（利益・売上帳票/Power BIの参照候補）,最優先候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,正式U-Car利益/用途を比較確認。Hueで粒度・一意キー、計上日、取消/修正、利益差、元テーブルとの整合を確認
TBBC102G,ＵＣＡＲ販売実績分析ＤＢ,U-Car販売実績・総利益分析,U-Car売上・利益,主要関連カラム: NO_SYARYOU（車両ＮＯ） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / DD_URIAGEKJ（売上計上日） / DD_URITRKKJ（売上取消計上日） / DD_JUCYUHAS（受注発生日） / KB_SIIRE（仕入区分） / SU_SYODOTOR（初度登録年月） / CD_TOROSYOK（登録用色コード） / KI_SYARYHAN（車両販売価格） / KI_KAPGANKI（割賦元金） / NO_KAPKAISU（割賦回数） ほか6項目,CD_HANSYA（販社コード） / CD_KAISYA（会社コード） / CD_TENPO（店舗コード） / DD_KEIJYOBI（計上日） / NO_SYARYOU（車両ＮＯ） / NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番） / KB_SYORI（処理区分）,NO_SYARYOU（車両ＮＯ）,NO_CYUMON（注文ＮＯ） / NO_CYUMONED（注文ＮＯ枝番）,DD_URIAGEKJ（売上計上日） / DD_URITRKKJ（売上取消計上日） / KI_SYARYHAN（車両販売価格） / KI_KAPGANKI（割賦元金） / KI_KAPHANKA（割賦販売価格） / KI_SOURIEKI（総利益）,未確認（利益・売上帳票/Power BIの参照候補）,最優先候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,取消・戻し・変更履歴・上書きの使い分けを確認,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,正式U-Car利益/用途を比較確認。Hueで粒度・一意キー、計上日、取消/修正、利益差、元テーブルとの整合を確認
TBG8047W,中古車売上明細ＤＢ,U-Car売上明細,U-Car売上明細,主要関連カラム: KB_URIAGE（売上区分） / NO_SYARYOU（車両ＮＯ） / NO_CYUMON（注文ＮＯ） / DD_URIAGE（売上日） / DD_SIIRE（仕入日） / NO_TOUROKU（登録ＮＯ） / KI_SYRYOHON（車両本体価格） / KI_SYRYONEB（車両本体値引） / KI_FUZOKUKA（付属品価格） / KI_SPSIYOKA（特別仕様価格） / KI_HANKAKAK（販売価格計） / KB_KAPTESZR（割賦手数料税率区分） ほか6項目,CD_HANSYA（販社コード）,NO_SYARYOU（車両ＮＯ） / NO_TOUROKU（登録ＮＯ）,NO_CYUMON（注文ＮＯ）,KB_URIAGE（売上区分） / DD_URIAGE（売上日） / KI_SYRYOHON（車両本体価格） / KI_SYRYONEB（車両本体値引） / KI_FUZOKUKA（付属品価格） / KI_SPSIYOKA（特別仕様価格） / KI_HANKAKAK（販売価格計） / KB_KAPTESZR（割賦手数料税率区分） / KI_KAPTESU（割賦手数料） / KI_KAPTESU2（割賦手数料２） / KI_HNBSTEKZ（販売諸手数料課税） / KI_AZUHOTHI（預り法定費用） ほか3項目,未確認（利益・売上帳票/Power BIの参照候補）,正式値・用途比較のための候補,未確認（正式な利益/売上値の候補。計上時点・原価基準・取消反映を確認）,差分追加・再計算・上書きの実態未確認,未確認（物理削除・論理削除・取消行・抹消済移送の有無を確認）,未確認（上書き・取消再計上・版管理の有無を確認）,未確認（テーブル定義書の保持期間欄は未記入）,計算済みスナップショット＋計算根拠明細の保持,車両/受注/店舗・月次の利益マート。正式値と参考値を分離,暫定（テーブル定義書・MTG資料ベース。実データ/担当者確認前）,セキグチトモフミさん/U-Car担当＋帳票担当＋AI21/インフラ担当,正式U-Car利益/用途を比較確認。Hueで粒度・一意キー、計上日、取消/修正、利益差、元テーブルとの整合を確認
